Current Official Name of Satellite,NORAD Number,Detailed Purpose,Users,sensor_type
Dove 4y-2,55074,Optical Imaging,Commercial,EO
Dove 4y-20,55063,Optical Imaging,Commercial,EO
Dove 4y-21,55077,Optical Imaging,Commercial,EO
Dove 4y-22,55022,Optical Imaging,Commercial,EO
Dove 4y-23,55080,Optical Imaging,Commercial,EO
Dove 4y-24,55020,Optical Imaging,Commercial,EO
Dove 4y-25,55027,Optical Imaging,Commercial,EO
Dove 4y-26,55070,Optical Imaging,Commercial,EO
Dove 4y-27,55083,Optical Imaging,Commercial,EO
Dove 4y-28,55033,Optical Imaging,Commercial,EO
Dove 4y-29,55030,Optical Imaging,Commercial,EO
Dove 4y-3,55035,Optical Imaging,Commercial,EO
Dove 4y-30,55025,Optical Imaging,Commercial,EO
Dove 4y-31,55075,Optical Imaging,Commercial,EO
Dove 4y-32,55021,Optical Imaging,Commercial,EO
Dove 4y-33,55042,Optical Imaging,Commercial,EO
Dove 4y-34,55082,Optical Imaging,Commercial,EO
Dove 4y-35,55057,Optical Imaging,Commercial,EO
Dove 4y-36,55078,Optical Imaging,Commercial,EO
Dove 4y-4,55055,Optical Imaging,Commercial,EO
Dove 4y-5,55028,Optical Imaging,Commercial,EO
Dove 4-y6,55066,Optical Imaging,Commercial,EO
Dove 4y-7,55032,Optical Imaging,Commercial,EO
Dove 4y-8,55071,Optical Imaging,Commercial,EO
Dove 4y-9,55069,Optical Imaging,Commercial,EO
EOS Sat-1,55053,Multispectral Imaging,Commercial,EO
EROS B-1,29079,Optical Imaging,Military/Commercial,EO
GeoEye-1,33331,Optical Imaging,Government/Commercial,EO
GHOSt-1,56195,Hyperspectral Imaging,Commercial,EO
GHOSt-2,56197,Hyperspectral Imaging,Commercial,EO
Gossamer Piccolomini,50999,Subsurface Imaging,Commercial,EO
GRUS-1A,43890,Multispectral Imaging,Commercial,EO
GRUS-1B,47934,Optical Imaging,Commercial,EO
GRUS-1C,47933,Optical Imaging,Commercial,EO
GRUS-1D,47936,Optical Imaging,Commercial,EO
GRUS-1E,47935,Optical Imaging,Commercial,EO
Hisea-1,47297,Radar Imaging,Commercial,SAR
Hongtu 1-01,56153,Radar Imaging,Commercial,SAR
Hongtu 1-02,56154,Radar Imaging,Commercial,SAR
Hongtu 1-03,56155,Radar Imaging,Commercial,SAR
Hongtu 1-04,56156,Radar Imaging,Commercial,SAR
ICEYE-X1,43114,Radar Imaging,Commercial,SAR
ICEYE-X10 ,47507,Radar Imaging,Commercial,SAR
ICEYE-X11,48918,Radar Imaging (SAR),Commercial,SAR
ICEYE-X12,48914,Radar Imaging (SAR),Commercial,SAR
ICEYE-X13,48916,Radar Imaging (SAR),Commercial,SAR
ICEYE-X14,51070,Radar Imaging (SAR),Commercial,SAR
ICEYE-X15,48917,Radar Imaging (SAR),Commercial,SAR
ICEYE-X16,51008,Radar Imaging (SAR),Commercial,SAR
ICEYE-X17,52762,Radar Imaging,Commercial,SAR
ICEYE-X18,52749,Radar Imaging,Commercial,SAR
ICEYE-X19,52758,Radar Imaging,Commercial,SAR
ICEYE-X2,43800,Radar Imaging (SAR),Commercial,SAR
ICEYE-X20,52759,Radar Imaging,Commercial,SAR
ICEYE-X21,55049,Radar Imaging,Commercial,SAR
ICEYE-X24,52755,Radar Imaging,Commercial,SAR
ICEYE-X27,55062,Radar Imaging,Commercial,SAR
ICEYE-X4,44390,Radar Imaging,Commercial,SAR
ICEYE-X5,44389,Radar Imaging,Commercial,SAR
ICEYE-X6,46497,Radar Imaging,Commercial,SAR
ICEYE-X7,46496,Radar Imaging,Commercial,SAR
ICEYE-X8,47510,Radar Imaging,Commercial,SAR
ICEYE-X9,47506,Radar Imaging,Commercial,SAR
Jilin-1,44310,Optical Imaging,Commercial,EO
Jilin-1,40959,Optical Imaging (video),Commercial,EO
Jilin-1,40960,Optical Imaging (video),Commercial,EO
Jilin-1 GaoFen 02A,44777,Multispectral Imaging,Commercial,EO
Jilin-1 GaoFen 02B,44836,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 02D ,49256,Optical Imaging,Commercial,EO
Jilin 1 GaoFen 02F,49338,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03B-01 ,46454,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03B-02 ,46455,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03B-03 ,46456,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03B-04 ,46457,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03B-05 ,46458,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03B-06 ,46459,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03C-01 ,46460,Video Imaging,Commercial,EO
Jilin-1 GaoFen 03C-02 ,46461,Video Imaging,Commercial,EO
Jilin-1 GaoFen 03C-03 ,46462,Video Imaging,Commercial,EO
Jilin-1 GaoFen 03D 10,51833,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D 11,51834,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D 12,51835,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D 13,51836,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D 14,51837,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D 15,51838,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D 16 ,51839,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D 17,51840,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D 18,51841,Optical Imaging,Commercial,EO
Jilin-1 Gaofen 03D-01,49004,Optical Imaging,Commercial,EO
Jilin-1 Gaofen 03D-02,49005,Optical Imaging,Commercial,EO
Jilin-1 Gaofen 03D-03,49006,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D-04,52389,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D-05,52390,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D-06,52391,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D-07,52392,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D-27,52444,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D-28,52445,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D-29,52446,Optical Imaging,Commercial,EO
