OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
YAOGAN-21,2014-053A,2026-04-22T21:11:15.101088,15.25563614,0.0006368,97.1528,155.5104,293.5019,66.5551,0,U,40143,999,64652,1.78E-04,4.46E-05,0
YAOGAN-22,2014-063A,2026-04-22T16:02:30.416640,13.15529402,0.0005856,100.7638,263.0363,318.7039,41.3628,0,U,40275,999,55251,1.27E-04,1.00E-08,0
ASNARO,2014-070A,2026-04-22T20:16:37.092000,15.19575127,0.0003325,97.3456,190.4429,31.125,329.0182,0,U,40298,999,63560,2.78E-04,5.85E-05,0
YAOGAN-24,2014-072A,2026-04-22T20:08:08.493216,14.76148333,0.0015311,98.1403,249.7357,81.6447,278.6497,0,U,40310,999,61555,9.59E-05,6.11E-06,0
CBERS 4,2014-079A,2026-04-22T20:00:04.882176,14.35543879,0.000115,98.3391,171.4139,133.5583,226.5699,0,U,40336,999,59601,2.48E-05,2.90E-07,0
YAOGAN-26,2014-088A,2026-04-22T20:46:36.282144,15.45146072,0.0002318,97.0667,114.4607,223.4908,136.6159,0,U,40362,999,62915,3.21E-04,1.51E-04,0
SMAP,2015-003A,2026-04-22T18:20:00.826080,14.63388104,0.0001843,98.1298,120.639,80.1953,279.9457,0,U,40376,999,59951,6.18E-05,2.73E-06,0
KOMPSAT-3A,2015-014A,2026-04-22T19:37:18.628608,15.51213505,0.0060313,97.6908,100.2479,21.2729,339.1009,0,U,40536,999,61322,4.11E-04,2.59E-04,0
SENTINEL-2A,2015-028A,2026-04-22T19:55:20.252928,14.30822106,0.0001317,98.5622,188.4736,86.6184,273.5149,0,U,40697,999,56581,3.96E-05,6.00E-07,0
GAOFEN-8,2015-030A,2026-04-22T20:08:34.683648,15.43971627,0.0009772,97.6936,302.9672,41.2407,318.9577,0,U,40701,999,60290,4.48E-04,2.04E-04,0
CARBONITE 1 (CBNT-1),2015-032D,2026-04-22T19:21:09.217152,14.83410324,0.0015909,97.6496,293.2037,113.7979,246.4905,0,U,40718,999,58113,2.60E-04,2.09E-05,0
YAOGAN-27,2015-040A,2026-04-22T21:55:21.875232,13.16067391,0.0008094,100.1147,101.7015,347.5381,12.5531,0,U,40878,999,51039,-6.42E-04,-2.86E-06,0
GAOFEN-9 01,2015-047A,2026-04-22T20:43:52.788288,14.82780493,0.0026372,97.6331,151.0603,324.3112,35.6338,0,U,40894,999,57199,7.82E-05,5.84E-06,0
YAOGAN-28,2015-064A,2026-04-22T21:16:10.398144,15.26697782,0.0011379,97.2993,252.331,34.3359,325.8614,0,U,41026,999,58224,1.84E-04,4.77E-05,0
YAOGAN-29,2015-069A,2026-04-22T20:28:26.842080,14.83039996,0.0001566,98.0077,141.3884,143.6828,216.4492,0,U,41038,999,56242,7.46E-05,5.53E-06,0
KENT RIDGE 1,2015-077B,2026-04-21T09:08:03.732000,15.2277786,0.00082715,14.9806,328.3371,157.3588,202.7099,0,U,41167,999,57242,1.23E-04,3.72E-05,0
GAOFEN-4,2015-083A,2026-04-22T21:38:00.387168,1.00268914,0.0003213,0.365,82.5563,132.8703,65.7236,0,U,41194,999,3797,0,-3.45E-06,0
JASON-3,2016-002A,2026-04-22T18:42:14.480064,12.87625832,0.0007918,66.0412,242.3226,274.9194,85.092,0,U,41240,999,48011,1.12E-04,-3.40E-07,0
SENTINEL-3A,2016-011A,2026-04-22T19:32:05.307648,14.26737858,0.0000992,98.6276,180.9845,97.0341,263.0952,0,U,41335,999,53016,4.55E-05,6.60E-07,0
ZIYUAN 3-02 (ZY 3-02),2016-033A,2026-04-22T20:59:30.217920,15.21228805,0.0014059,97.3842,189.7044,124.9418,235.3141,0,U,41556,999,54957,1.96E-04,4.33E-05,0
CARTOSAT-2C,2016-040A,2026-04-22T20:47:53.191104,15.19211974,0.0008743,97.4518,173.5902,333.5368,26.5419,0,U,41599,999,54531,9.80E-05,2.00E-05,0
SKYSAT-C1,2016-040C,2026-04-22T01:16:03.236736,15.35342457,0.00019777,96.962,146.8389,175.1242,185.0022,0,U,41601,999,54925,2.33E-04,7.91E-05,0
LAPAN-A3,2016-040E,2026-04-22T20:03:45.430272,15.32735498,0.0009409,97.1495,110.8187,203.9732,156.1074,0,U,41603,999,54633,8.77E-05,2.70E-05,0
GAOFEN-3,2016-049A,2026-04-22T20:37:06.383424,14.42224932,0.0001223,98.4037,121.4769,66.338,293.7938,0,U,41727,999,51067,-3.71E-05,-1.66E-06,0
SKYSAT-C4,2016-058B,2026-04-22T19:03:00.782784,15.46851655,0.0003614,96.9224,136.9428,100.1747,259.9911,0,U,41771,999,53690,2.35E-04,1.17E-04,0
SKYSAT-C5,2016-058C,2026-04-22T01:43:27.242112,15.33647559,0.00048186,97.0528,155.2326,120.51,239.6619,0,U,41772,999,53514,2.04E-04,6.55E-05,0
SKYSAT-C2,2016-058D,2026-04-22T19:40:15.560256,15.40805801,0.0001626,97.0221,137.0383,213.0446,147.07,0,U,41773,999,53652,2.04E-04,8.29E-05,0
SKYSAT-C3,2016-058E,2026-04-22T16:06:05.527584,15.50227448,0.0002655,96.9102,145.72,106.6635,253.491,0,U,41774,999,53750,2.64E-04,1.48E-04,0
ALSAT-1B,2016-059C,2026-04-22T20:22:56.718048,14.72229634,0.0010525,97.7779,123.9993,50.0086,310.2045,0,U,41785,999,51243,2.05E-05,8.20E-07,0
PATHFINDER 1,2016-059E,2026-04-22T16:59:00.368160,14.67591343,0.0029113,97.8179,114.4892,26.0284,334.2378,0,U,41787,999,51157,8.93E-05,4.63E-06,0
SCATSAT 1,2016-059H,2026-04-22T03:29:52.286784,14.79398949,0.00559855,98.1229,175.329,69.4289,291.2916,0,U,41790,999,9330,1.31E-04,9.48E-06,0
GOKTURK 1A,2016-073A,2026-04-22T20:07:45.871104,14.62790599,0.0001406,98.1302,8.3635,81.6631,278.473,0,U,41875,999,50073,5.98E-05,2.59E-06,0
RESOURCESAT-2A,2016-074A,2026-04-22T19:41:34.921248,14.21617511,0.0001338,98.7536,186.7721,213.9788,146.1304,0,U,41877,999,48643,1.65E-04,3.17E-06,0
CARTOSAT-2D,2017-008A,2026-04-22T20:00:27.576864,15.19244049,0.0005747,97.4145,173.1579,79.8402,280.3481,0,U,41948,999,50917,1.88E-04,3.89E-05,0
SENTINEL-2B,2017-013A,2026-04-22T19:44:53.890080,14.30822801,0.0001265,98.5648,188.3824,90.7469,269.3859,0,U,42063,999,47672,6.21E-05,1.19E-06,0
CARTOSAT-2E,2017-036C,2026-04-22T20:25:11.942688,15.19274153,0.0004106,97.4313,173.5499,127.9528,232.2078,0,U,42767,999,48974,-1.94E-05,-4.75E-06,0
FORMOSAT-5,2017-049A,2026-04-22T19:30:24.757056,14.5087609,0.0010228,98.2262,189.3499,250.645,109.3639,0,U,42920,999,45864,3.75E-05,1.04E-06,0
SENTINEL-5P,2017-064A,2026-04-22T17:30:03.439008,14.19509054,0.0001265,98.7937,55.259,82.4649,277.6671,0,U,42969,999,44169,4.17E-05,4.40E-07,0
SKYSAT-C11,2017-068A,2026-04-22T19:56:03.439104,15.55016215,0.0001431,97.4288,259.3989,146.6347,213.4998,0,U,42987,999,47463,2.85E-04,1.90E-04,0
SKYSAT-C10,2017-068B,2026-04-22T07:53:44.593440,15.33636623,0.00015556,97.4425,248.7018,113.4158,246.7249,0,U,42988,999,47379,2.46E-04,7.94E-05,0
SKYSAT-C9,2017-068C,2026-04-22T15:35:03.928128,15.40178228,0.0007825,97.4348,249.4456,344.8342,15.2668,0,U,42989,999,47420,2.30E-04,9.17E-05,0
SKYSAT-C8,2017-068D,2026-04-22T15:26:23.698176,15.35842709,0.0001195,97.4442,248.6122,110.4577,249.6795,0,U,42990,999,47378,2.36E-04,8.15E-05,0
