위성명,NORAD_ID,통과시간(UTC),최대앙각(°),궤도고도(km)
TBA - TO BE ASSIGNED,82494,2022-08-04 10:21:00,77.2,730.6
COSMOS 1408 DEB,52824,2022-08-04 10:52:00,77.1,595.4
STARLINK-4202,52848,2022-08-04 17:08:00,77.1,463.6
COSMOS 1408 DEB,52815,2022-08-04 21:35:00,77.1,466.2
TBA - TO BE ASSIGNED,85266,2022-08-04 17:26:00,77.0,584.8
OBJECT H,52792,2022-08-04 18:23:00,77.0,619.7
HAWK-5B,52756,2022-08-04 05:35:00,76.9,540.9
ICEYE-X18,52749,2022-08-04 05:34:00,76.9,539.2
TBA - TO BE ASSIGNED,87335,2022-08-04 01:20:00,76.9,1071.4
TBA - TO BE ASSIGNED,81374,2022-08-04 12:01:00,76.8,761.5
TBA - TO BE ASSIGNED,87456,2022-08-04 08:38:00,76.7,1103.3
TBA - TO BE ASSIGNED,87416,2022-08-04 15:25:00,76.7,807.9
TBA - TO BE ASSIGNED,81775,2022-08-04 04:53:00,76.6,807.9
TBA - TO BE ASSIGNED,82369,2022-08-04 11:35:00,76.6,915.6
YAOGAN-35 F,52909,2022-08-04 05:52:00,76.5,505.9
TBA - TO BE ASSIGNED,270178,2022-08-04 08:28:00,76.5,785.1
COSMOS 1408 DEB,53097,2022-08-04 10:08:00,76.4,458.9
TBA - TO BE ASSIGNED,81123,2022-08-04 09:12:00,76.4,974.8
TBA - TO BE ASSIGNED,87293,2022-08-04 02:40:00,76.4,907.6
TBA - TO BE ASSIGNED,82162,2022-08-04 12:14:00,76.4,1142.0
TBA - TO BE ASSIGNED,87300,2022-08-04 23:46:00,76.4,917.6
STARLINK-3794,52631,2022-08-04 23:14:00,76.3,543.4
TBA - TO BE ASSIGNED,87335,2022-08-04 13:02:00,76.3,971.6
SLINGSHOT1,52947,2022-08-04 16:47:00,76.3,494.6
TBA - TO BE ASSIGNED,270052,2022-08-04 20:13:00,76.3,552.8
STARLINK-4350,53045,2022-08-04 09:49:00,76.2,418.0
TBA - TO BE ASSIGNED,81615,2022-08-04 21:00:00,76.1,753.2
STARLINK-4018,52697,2022-08-04 15:29:00,76.1,543.1
YAOGAN-35 D,52907,2022-08-04 05:52:00,76.1,504.0
STARLINK-3901,52574,2022-08-04 22:34:00,76.1,549.3
TBA - TO BE ASSIGNED,89074,2022-08-04 11:32:00,76.1,1040.7
FREGAT DEB,52956,2022-08-04 05:42:00,76.1,1195.0
TBA - TO BE ASSIGNED,270180,2022-08-04 10:08:00,75.9,763.7
STARLINK-4001,52628,2022-08-04 00:44:00,75.9,543.0
TBA - TO BE ASSIGNED,82250,2022-08-04 02:59:00,75.9,831.8
TBA - TO BE ASSIGNED,82073,2022-08-04 10:31:00,75.9,891.7
TBA - TO BE ASSIGNED,81052,2022-08-04 19:01:00,75.9,606.1
TBA - TO BE ASSIGNED,82683,2022-08-04 19:33:00,75.7,695.7
H-2A DEB,53115,2022-08-04 06:42:00,75.7,496.6
TBA - TO BE ASSIGNED,82873,2022-08-04 03:32:00,75.6,860.6
STARLINK-4102,53143,2022-08-04 03:12:00,75.6,354.2
HAWK-5C,52754,2022-08-04 05:35:00,75.6,540.1
TBA - TO BE ASSIGNED,81667,2022-08-04 05:53:00,75.5,758.6
STARLINK-4037,52663,2022-08-04 15:49:00,75.5,545.5
H-2A DEB,53325,2022-08-04 06:29:00,75.5,601.1
TBA - TO BE ASSIGNED,85386,2022-08-04 05:21:00,75.5,776.0
TBA - TO BE ASSIGNED,81824,2022-08-04 08:53:00,75.4,858.5
STARLINK-4170,53140,2022-08-04 03:13:00,75.4,354.8
TBA - TO BE ASSIGNED,82524,2022-08-04 04:56:00,75.2,720.3
MISR-B-1,52949,2022-08-04 16:55:00,75.2,494.9
TBA - TO BE ASSIGNED,270257,2022-08-04 06:40:00,75.1,755.4
STARLINK-4103,53141,2022-08-04 03:12:00,74.9,354.6
COSMOS 1408 DEB,52816,2022-08-04 10:16:00,74.9,463.8
TBA - TO BE ASSIGNED,89184,2022-08-04 11:06:00,74.9,773.5
TBA - TO BE ASSIGNED,270138,2022-08-04 15:19:00,74.8,626.9
TBA - TO BE ASSIGNED,81535,2022-08-04 09:31:00,74.8,810.4
STARLINK-3976,52673,2022-08-04 01:21:00,74.8,544.2
TBA - TO BE ASSIGNED,81311,2022-08-04 20:38:00,74.8,735.1
TBA - TO BE ASSIGNED,81405,2022-08-04 22:40:00,74.7,940.9
TBA - TO BE ASSIGNED,81696,2022-08-04 03:36:00,74.6,489.8
STARLINK-4034,52700,2022-08-04 15:35:00,74.5,542.6
STARLINK-4201,52856,2022-08-04 07:43:00,74.5,351.8
TBA - TO BE ASSIGNED,89183,2022-08-04 04:14:00,74.4,1055.4
TBA - TO BE ASSIGNED,270119,2022-08-04 23:48:00,74.4,897.0
TBA - TO BE ASSIGNED,270119,2022-08-04 00:39:00,74.3,911.0
TBA - TO BE ASSIGNED,270206,2022-08-04 06:38:00,74.3,683.8
TBA - TO BE ASSIGNED,89494,2022-08-04 00:49:00,74.2,874.3
TBA - TO BE ASSIGNED,53364,2022-08-04 07:41:00,74.0,645.4
YAOGAN-35 E,52908,2022-08-04 05:47:00,73.8,506.1
TBA - TO BE ASSIGNED,270048,2022-08-04 05:04:00,73.8,932.4
TBA - TO BE ASSIGNED,87065,2022-08-04 22:55:00,73.8,915.2
MIMAN,52900,2022-08-04 19:31:00,73.8,705.1
CTIM,52950,2022-08-04 16:56:00,73.8,496.1
TBA - TO BE ASSIGNED,87164,2022-08-04 22:07:00,73.8,700.5
TBA - TO BE ASSIGNED,53357,2022-08-04 07:52:00,73.8,526.4
GHGSAT-C3,52737,2022-08-04 16:57:00,73.7,530.3
COSMOS 1408 DEB,52825,2022-08-04 11:30:00,73.7,575.8
TBA - TO BE ASSIGNED,270229,2022-08-04 19:12:00,73.6,836.2
STARLINK-3867,52587,2022-08-04 22:35:00,73.5,544.0
LEMUR 2 TENNYSONLILY,52732,2022-08-04 16:57:00,73.5,528.9
STARLINK-4076,52667,2022-08-04 15:40:00,73.4,542.9
TBA - TO BE ASSIGNED,270075,2022-08-04 03:14:00,73.4,962.8
TBA - TO BE ASSIGNED,53358,2022-08-04 07:54:00,73.3,505.7
OBJECT E,52948,2022-08-04 01:18:00,73.2,497.9
H-2A DEB,53335,2022-08-04 18:05:00,73.2,544.3
ICEYE-X17,52762,2022-08-04 17:09:00,73.2,525.0
TBA - TO BE ASSIGNED,87878,2022-08-04 00:04:00,73.2,792.3
STARLINK-4036,52837,2022-08-04 17:16:00,73.1,467.0
STARLINK-4341,53052,2022-08-04 09:48:00,73.1,418.1
STARLINK-4331,53046,2022-08-04 09:49:00,73.0,418.7
TBA - TO BE ASSIGNED,82369,2022-08-04 00:10:00,73.0,858.1
TBA - TO BE ASSIGNED,270173,2022-08-04 21:59:00,72.8,657.0
STARLINK-4077,53154,2022-08-04 03:11:00,72.8,354.6
