OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
KUIPER-00433,2026-095F,2026-05-20T14:00:01.999872,15.12810573,.00086469,51.8812,17.0191,215.7785,288.6093,0,U,68869,999,345,-.1100643E+0,-.1786857E-1,0
KUIPER-00437,2026-095G,2026-05-19T21:10:51.136320,15.37073888,.0007723,51.8778,19.3233,187.9385,172.1480,0,U,68870,999,337,.39532E-3,.14214E-3,0
KUIPER-00448,2026-095H,2026-05-20T09:19:38.431200,15.38065059,.00033151,51.8843,16.7255,177.7837,182.3165,0,U,68871,999,345,.54007188E-3,.20213E-3,0
KUIPER-00459,2026-095J,2026-05-20T00:37:24.028320,15.35945180,.00109607,51.8711,18.7742,199.9385,160.1174,0,U,68872,999,339,.49999669E-3,.1745E-3,0
KUIPER-00468,2026-095K,2026-05-19T22:30:13.768704,15.37746930,.0005239,51.8848,18.9542,169.6036,190.5060,0,U,68873,999,338,.77326E-3,.28848E-3,0
KUIPER-00476,2026-095L,2026-05-19T22:57:59.522688,15.36194648,.00099132,51.8753,19.0659,193.8873,166.1842,0,U,68874,999,338,.37079998E-3,.12933E-3,0
KUIPER-00478,2026-095M,2026-05-19T22:50:50.952768,15.36722742,.00079344,51.8779,19.0389,195.6612,164.4131,0,U,68875,999,338,.28907324E-3,.10164E-3,0
KUIPER-00480,2026-095N,2026-05-19T22:40:39.366912,15.37324708,.00062454,51.8776,18.9949,186.2666,173.8244,0,U,68876,999,338,.77730822E-3,.28607E-3,0
KUIPER-00482,2026-095P,2026-05-20T15:26:04.682400,15.38515675,.0002464,51.8871,15.4316,155.6287,204.4818,0,U,68877,999,349,.49457618E-3,.1875E-3,0
KUIPER-00483,2026-095Q,2026-05-20T14:00:01.999872,15.20915581,.00102043,51.8794,16.7901,207.3964,348.4066,0,U,68878,999,354,.16164025E-2,.36132E-3,0
KUIPER-00488,2026-095R,2026-05-20T08:29:47.633856,15.35661387,.00104819,51.8687,17.2127,206.4005,153.6448,0,U,68879,999,344,.4408631E-3,.15191E-3,0
KUIPER-00489,2026-095S,2026-05-19T22:58:16.838112,15.36223051,.0009971,51.8768,19.0669,196.4129,163.6535,0,U,68880,999,338,.51549E-3,.18162E-3,0
KUIPER-00499,2026-095T,2026-05-20T00:39:17.080128,15.35374044,.00082085,51.8704,18.7813,194.9914,165.0830,0,U,68881,999,339,.60065793E-3,.20648E-3,0
KUIPER-00500,2026-095U,2026-05-20T14:00:01.999872,15.27667045,.00052193,51.8822,16.1782,193.7973,343.3867,0,U,68882,999,469,-.27784936E-1,-.704455E-2,0
KUIPER-00502,2026-095V,2026-05-19T22:35:11.904000,15.37586122,.0005986,51.8802,18.9728,193.7322,166.3503,0,U,68883,999,338,.70702E-3,.26199E-3,0
KUIPER-00503,2026-095W,2026-05-19T22:50:39.575616,15.36763017,.00077162,51.8762,19.0381,188.3340,171.7520,0,U,68884,999,338,.32888287E-3,.11635E-3,0
KUIPER-00504,2026-095X,2026-05-20T14:00:01.999872,15.03168124,.0012482,51.8850,18.4861,229.7784,285.3446,0,U,68885,999,385,.16612367E-2,.2254E-3,0
KUIPER-00505,2026-095Y,2026-05-20T09:22:49.273248,15.37908163,.00041103,51.8845,16.7403,169.2719,190.8357,0,U,68886,999,345,.51500215E-3,.19156E-3,0
KUIPER-00507,2026-095Z,2026-05-20T09:04:41.220768,15.38790690,.00007225,51.8849,16.6575,85.1309,274.9761,0,U,68887,999,345,.49435285E-3,.18913E-3,0
KUIPER-00511,2026-095AA,2026-05-19T22:42:02.161440,15.37210517,.00069996,51.8789,19.0025,184.6308,175.4615,0,U,68888,999,338,.33578319E-3,.12063E-3,0
