name	norad_id	country	epoch	inclination	mean_motion	eccentricity	altitude_km	period_min	rcs_size	object_type	line1	line2	launch_date_x	decay_date_x	launch_date_y	decay_date_y	launch_date	decay_date	sat_name	purpose	detailed_purpose	users	operator	orbit_type	sensor	source	filter_source	commercial_source
JILIN-01 GAOFEN 2F	49338	PRC	2026-05-20T14:58:58.937664	97.667	15.07541473	0.0017718	550.9	95.52	LARGE	PAYLOAD	1 49338U 21097A   26140.62429326  .00002537  00000-0  17065-3 0  9992	2 49338  97.6670 266.9039 0017718 324.4354  35.5692 15.07541473252161	2021-10-27		2021-10-27		2021-10-27		Jilin-1 Gaofen 02F	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
SKYSAT 2	40072	US	2026-05-20T14:55:16.205376	98.3823	14.87944836	0.00060298	611.5	96.78	MEDIUM	PAYLOAD	1 40072U 14037D   26140.62171534  .00000783  00000-0  92136-4 0  9993	2 40072  98.3823  98.0204 0006030  21.5285 338.6183 14.87944836641864	2014-07-08		2014-07-08		2014-07-08		"SkySat-2 (B, S2)"	Earth Observation	Optical Imaging	Commercial	"Planet Labs, Inc."	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
GEOEYE 1	33331	US	2026-05-20T14:54:58.834656	98.124	14.64695623	0.00051451	685.2	98.31	LARGE	PAYLOAD	1 33331U 08042A   26140.62151429  .00000259  00000-0  57535-4 0  9995	2 33331  98.1240 214.9013 0005145 136.1400 224.0213 14.64695623946110	2008-09-06		2008-09-06		2008-09-06		GeoEye-1 (Orbview 5)	Earth Observation	Optical Imaging	Government/Commercial	DigitalGlobe Corporation	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
SPOT 6	38755	FR	2026-05-20T14:52:43.658400	98.2125	14.58544169	0.00012937	705	98.73	LARGE	PAYLOAD	1 38755U 12047A   26140.61994975  .00000261  00000-0  66038-4 0  9991	2 38755  98.2125 208.2491 0001294  95.2258 264.9089 14.58544169729036	2012-09-09		2012-09-09		2012-09-09		Spot 6 (Syst?me Probatoire d¡¯Observation de la Terre)	Earth Observation	Optical Imaging	Commercial	Spot Image	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
GRUS-1C	47933	JPN	2026-05-20T14:51:27.552960	97.5394	14.98918236	0.00149564	577.4	96.07	MEDIUM	PAYLOAD	1 47933U 21022B   26140.61906890  .00001049  00000-0  91277-4 0  9999	2 47933  97.5394  24.6377 0014956  58.6074 301.6610 14.98918236281772	2021-03-22		2021-03-22		2021-03-22		GRUS-1C	Earth Observation	Optical Imaging	Commercial	Axelspace	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
STRIX-1	53815	JPN	2026-05-20T14:50:45.477888	97.4507	15.3846674	0.00026855	457.8	93.6	MEDIUM	PAYLOAD	1 53815U 22113A   26140.61858192  .00014809  00000-0  39210-3 0  9994	2 53815  97.4507 202.1771 0002685 359.6070   0.5172 15.38466740203203	2022-09-15		2022-09-15		2022-09-15		StriX-1	Earth Observation	Radar Imaging	Commercial	Synspective	Sun-Synchronous	SAR	UCS	UCS	UCS
DMC 3-FM2	40716	UK	2026-05-20T14:44:50.902656	97.6546	14.85707996	0.00068568	618.5	96.92	LARGE	PAYLOAD	1 40716U 15032B   26140.61447804  .00000010  00000-0  70846-5 0  9997	2 40716  97.6546   8.4209 0006857 137.7330 222.4415 14.85707996585813	2015-07-10		2015-07-10		2015-07-10		DMC 3-2 (Disaster Monitoring Constellation)	Earth Observation	Optical Imaging	Commercial	Surrey Satellite Technology Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
MENUT	55010	SPN	2026-05-20T14:38:29.738688	97.316	15.5658234	0.00052858	404.7	92.51	MEDIUM	PAYLOAD	1 55010U 23001B   26140.61006642  .00047285  00000-0  66368-3 0  9993	2 55010  97.3160 207.7635 0005286 189.8122 170.3030 15.56582340188102	2023-01-03		2023-01-03		2023-01-03		Menut	Earth Observation	Optical/Infrared Imaging	Commercial	Open Cosmos	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
JILIN-01 GAOFEN 3E	46457	PRC	2026-05-20T14:37:59.674080	97.2275	15.60316507	0.00101862	393.9	92.29	MEDIUM	PAYLOAD	1 46457U 20065D   26140.60971845  .00039204  00000-0  47826-3 0  9990	2 46457  97.2275 192.6459 0010186 252.7242 107.2901 15.60316507315458	2020-09-15		2020-09-15		2020-09-15		Jilin-1 Gaofen 03B-04 	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
RADARSAT 2	32382	CA	2026-05-20T14:37:17.915232	98.5781	14.29981981	0.00013126	798.9	100.7	LARGE	PAYLOAD	1 32382U 07061A   26140.60923513  .00000025  00000-0  26705-4 0  9995	2 32382  98.5781 147.9357 0001313  85.1327 275.0005 14.29981981962017	2007-12-14		2007-12-14		2007-12-14		Radarsat-2 	Earth Observation	Radar Imaging	Commercial	MDA Corporation	Sun-Synchronous	SAR	UCS	UCS	UCS
