w_mentions,w_goldstein,w_tone,w_geo,w_zscore,f1,precision,recall,best_threshold
0.0,0.1,0.1,0.6,0.2,0.2811501597444089,0.2857142857142857,0.27672955974842767,0.25
0.0,0.1,0.1,0.7,0.1,0.2576271186440678,0.27941176470588236,0.2389937106918239,0.3
0.0,0.1,0.1,0.8,0.0,0.2576271186440678,0.27941176470588236,0.2389937106918239,0.3
0.0,0.1,0.2,0.0,0.7,0.271604938271605,0.39285714285714285,0.20754716981132076,0.2
0.0,0.1,0.2,0.1,0.6,0.2733812949640288,0.31932773109243695,0.2389937106918239,0.2
0.0,0.1,0.2,0.2,0.5,0.28070175438596495,0.463768115942029,0.20125786163522014,0.25
0.0,0.1,0.2,0.3,0.4,0.27237354085603116,0.35714285714285715,0.22012578616352202,0.25
0.0,0.1,0.2,0.4,0.3,0.26775956284153,0.23671497584541062,0.3081761006289308,0.2
0.0,0.1,0.2,0.5,0.2,0.2692307692307692,0.27450980392156865,0.2641509433962264,0.25
0.0,0.1,0.2,0.6,0.1,0.26666666666666666,0.2573099415204678,0.27672955974842767,0.25
0.0,0.1,0.2,0.7,0.0,0.26760563380281693,0.304,0.2389937106918239,0.35
0.0,0.1,0.3,0.0,0.6,0.26506024096385544,0.21484375,0.34591194968553457,0.1
0.0,0.1,0.3,0.1,0.5,0.26153846153846155,0.33663366336633666,0.2138364779874214,0.25
0.0,0.1,0.3,0.2,0.4,0.26241134751773054,0.3008130081300813,0.23270440251572327,0.25
0.0,0.1,0.3,0.3,0.3,0.26058631921824105,0.2702702702702703,0.25157232704402516,0.25
0.0,0.1,0.3,0.4,0.2,0.2545454545454546,0.3017241379310345,0.22012578616352202,0.3
0.0,0.1,0.3,0.5,0.1,0.256,0.3516483516483517,0.20125786163522014,0.35
0.0,0.1,0.3,0.6,0.0,0.253968253968254,0.2564102564102564,0.25157232704402516,0.3
0.0,0.1,0.4,0.0,0.5,0.2647754137115839,0.21212121212121213,0.3522012578616352,0.1
0.0,0.1,0.4,0.1,0.4,0.2543640897755611,0.21074380165289255,0.32075471698113206,0.15
0.0,0.1,0.4,0.2,0.3,0.267379679144385,0.23255813953488372,0.31446540880503143,0.2
0.0,0.1,0.4,0.3,0.2,0.25787965616045844,0.23684210526315788,0.2830188679245283,0.25
0.0,0.1,0.4,0.4,0.1,0.26031746031746034,0.26282051282051283,0.2578616352201258,0.3
0.0,0.1,0.4,0.5,0.0,0.2507645259938838,0.24404761904761904,0.2578616352201258,0.3
0.0,0.1,0.5,0.0,0.4,0.2722772277227723,0.22448979591836735,0.34591194968553457,0.15
0.0,0.1,0.5,0.1,0.3,0.26829268292682923,0.21912350597609562,0.34591194968553457,0.15
0.0,0.1,0.5,0.2,0.2,0.26229508196721313,0.208955223880597,0.3522012578616352,0.15
0.0,0.1,0.5,0.3,0.1,0.26016260162601623,0.22857142857142856,0.3018867924528302,0.25
0.0,0.1,0.5,0.4,0.0,0.2483221476510067,0.26618705035971224,0.23270440251572327,0.35
0.0,0.1,0.6,0.0,0.3,0.26932668329177056,0.2231404958677686,0.33962264150943394,0.15
0.0,0.1,0.6,0.1,0.2,0.2689486552567237,0.22,0.34591194968553457,0.15
0.0,0.1,0.6,0.2,0.1,0.2679900744416874,0.22131147540983606,0.33962264150943394,0.2
0.0,0.1,0.6,0.3,0.0,0.26150121065375304,0.2125984251968504,0.33962264150943394,0.2
0.0,0.1,0.7,0.0,0.2,0.2706766917293233,0.225,0.33962264150943394,0.15
0.0,0.1,0.7,0.1,0.1,0.2673267326732673,0.22040816326530613,0.33962264150943394,0.15
0.0,0.1,0.7,0.2,0.0,0.2626262626262626,0.21940928270042195,0.3270440251572327,0.2
0.0,0.1,0.8,0.0,0.1,0.2654028436018957,0.21292775665399238,0.3522012578616352,0.1
0.0,0.1,0.8,0.1,0.0,0.2653061224489796,0.22317596566523606,0.3270440251572327,0.25
0.0,0.1,0.9,0.0,0.0,0.26463104325699743,0.2222222222222222,0.3270440251572327,0.1
0.0,0.2,0.0,0.0,0.8,0.29508196721311475,0.4235294117647059,0.22641509433962265,0.2
0.0,0.2,0.0,0.1,0.7,0.29310344827586204,0.4657534246575342,0.2138364779874214,0.25
0.0,0.2,0.0,0.2,0.6,0.2945736434108527,0.3838383838383838,0.2389937106918239,0.25
0.0,0.2,0.0,0.3,0.5,0.26160337552742613,0.3974358974358974,0.1949685534591195,0.3
0.0,0.2,0.0,0.4,0.4,0.29571984435797666,0.3877551020408163,0.2389937106918239,0.3
0.0,0.2,0.0,0.5,0.3,0.25857519788918204,0.22272727272727272,0.3081761006289308,0.25
0.0,0.2,0.0,0.6,0.2,0.27777777777777773,0.3763440860215054,0.22012578616352202,0.35
0.0,0.2,0.0,0.7,0.1,0.25915492957746483,0.23469387755102042,0.2893081761006289,0.35
0.0,0.2,0.0,0.8,0.0,0.25268817204301075,0.22065727699530516,0.29559748427672955,0.3
0.0,0.2,0.1,0.0,0.7,0.2693877551020408,0.38372093023255816,0.20754716981132076,0.25
0.0,0.2,0.1,0.1,0.6,0.26976744186046514,0.5178571428571429,0.18238993710691823,0.3
0.0,0.2,0.1,0.2,0.5,0.2784810126582279,0.4230769230769231,0.20754716981132076,0.3
0.0,0.2,0.1,0.3,0.4,0.2508960573476703,0.2916666666666667,0.22012578616352202,0.3
0.0,0.2,0.1,0.4,0.3,0.26621160409556316,0.291044776119403,0.24528301886792453,0.3
0.0,0.2,0.1,0.5,0.2,0.24705882352941172,0.23204419889502761,0.2641509433962264,0.3
0.0,0.2,0.1,0.6,0.1,0.253968253968254,0.2191780821917808,0.3018867924528302,0.3
0.0,0.2,0.1,0.7,0.0,0.2471910112359551,0.2233502538071066,0.27672955974842767,0.35
0.0,0.2,0.2,0.0,0.6,0.2575107296137339,0.40540540540540543,0.18867924528301888,0.3
0.0,0.2,0.2,0.1,0.5,0.25925925925925924,0.3153153153153153,0.22012578616352202,0.3
0.0,0.2,0.2,0.2,0.4,0.2612612612612612,0.4603174603174603,0.18238993710691823,0.35
0.0,0.2,0.2,0.3,0.3,0.25396825396825395,0.34408602150537637,0.20125786163522014,0.35
0.0,0.2,0.2,0.4,0.2,0.2606060606060606,0.25146198830409355,0.27044025157232704,0.3
0.0,0.2,0.2,0.5,0.1,0.25257731958762886,0.21397379912663755,0.3081761006289308,0.3
