SQLDATE,EventRootCode,QuadClass,GLOBALEVENTID,EventCode,Actor1Name,Actor2Name,Actor1CountryCode,Actor2CountryCode,Actor1Type1Code,GoldsteinScale,NumMentions,AvgTone,ActionGeo_Type,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,score_mentions,score_goldstein,score_tone,score_zscore,score_geo,priority_score
2016-12-12,15,4,607599143,150,CHINESE,TAIWAN,CHN,TWN,,-7.2,95,-2.57564131538823,4,39.9289,116.388,https://www.yahoo.com/news/taiwan-frets-being-pawn-trump-set-u-china-120205094.html,1.0,0.0,0.0,0.04544952722232566,0.1,0.325
2024-05-28,15,4,1178331567,150,TAIPEI,CHINESE,TWN,CHN,,-7.2,240,-4.53217893352447,4,40.4,-3.68333,https://www.shanghaisun.com/news/274386966/chinext-index-opens-lower-tuesday,1.0,0.0,0.44749132137360875,0.03249692493831073,0.1,0.325
2025-07-09,19,4,1250973281,190,CHINA,TAIWAN,CHN,TWN,,-10.0,102,-4.26793358318376,4,24.1098,113.005,https://www.yahoo.com/news/taiwan-launches-annual-war-games-010821536.html,1.0,0.9999999996428571,0.4214006698955479,0.0,0.1,0.325
2021-06-20,19,4,991066932,193,TAIPEI,CHINA,TWN,CHN,,-10.0,104,-0.494161789877385,4,39.9289,116.388,https://kesq.com/news/national-world/cnn-asia-pacific/2021/06/19/the-us-triples-its-vaccine-donations-to-taiwan-as-the-island-battles-an-outbreak/,1.0,0.9999999996428571,0.0,0.0575573945747744,0.1,0.325
2022-08-04,19,4,1057073484,194,CHINA,TAIWAN,CHN,TWN,,-10.0,101,-2.07346885441713,3,38.8951,-77.0364,https://www.bignewsnetwork.com/news/272642549/china-fires-hypersonic-missiles-in-taiwan-blockade-drill---media,1.0,0.9999999996428571,0.0,0.9999999998921218,0.1,0.325
2022-08-03,15,4,1056889509,150,CHINA,TAIWAN,CHN,TWN,,-7.2,642,-3.88855755215915,4,39.9289,116.388,https://www.kasu.org/2022-08-02/what-3-past-taiwan-strait-crises-can-teach-us-about-u-s-china-tensions-today,1.0,0.0,0.38394242212759017,0.41516184893779534,0.1,0.325
2023-06-09,19,4,1107776799,190,CHINA,TAIWAN,CHN,TWN,,-10.0,198,2.15821388541365,4,39.9289,116.388,https://www.theintelligencer.com/news/politics/article/honduran-president-begins-first-visit-to-china-18143620.php,1.0,0.9999999996428571,0.0,0.5047037516838117,0.1,0.325
2022-08-03,15,4,1056957708,150,TAIWAN,CHINA,TWN,CHN,,-7.2,168,-0.628852793915279,4,39.9289,116.388,https://www.thedailystar.net/news/world/news/pelosi-us-wants-taiwan-have-freedom-security-and-wont-back-down-3086731,1.0,0.0,0.0,0.41516184893779534,0.1,0.325
2021-06-03,19,4,988272110,193,TAIPEI,CHINA,TWN,CHN,,-10.0,751,-1.15405378569615,4,39.9289,116.388,https://www.winnipegfreepress.com/business/slow-to-start-china-mobilizes-to-vaccinate-at-headlong-pace-574551542.html,1.0,0.9999999996428571,0.0,0.22312544116174787,0.1,0.325
2023-02-01,19,4,1082844998,192,TAIWANESE,CHINA,TWN,CHN,,-9.5,101,-2.12194031500144,4,39.9289,116.388,https://www.thestandard.com.hk/breaking-news/section/3/199811/Taiwan-activates-defenses-in-response-to-China-incursions&nbsp,1.0,0.8214285711352041,0.0,0.01672853954907516,0.1,0.325
2021-09-23,19,4,1005580063,190,BEIJING,TAIWAN,CHN,TWN,,-10.0,100,-2.25315127724093,4,39.9289,116.388,https://www.banburycake.co.uk/news/national/19600248.china-sends-19-fighter-jets-towards-taiwan-show-force/,1.0,0.9999999996428571,0.0,0.14935192380496717,0.1,0.325
