SQLDATE,EventCode,GoldsteinScale,NumMentions,AvgTone,ActionGeo_Type,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
2022-08-31,193,-10.0,66,-4.17570869990225,4,39.9289,116.388,https://www.japantimes.co.jp/news/2022/08/31/asia-pacific/taiwan-china-drone-warning-shot/
2022-08-31,190,-10.0,682,-3.64131903632718,4,39.9289,116.388,https://www.sfgate.com/news/article/Taiwan-forces-fire-at-drones-flying-over-island-17409220.php
2022-08-31,190,-10.0,118,-3.35094299838719,4,25.0478,121.532,https://www.mirror.co.uk/news/world-news/taiwan-fires-shots-chinese-drone-27872109
2026-01-01,150,-7.2,262,-3.18187033839768,4,39.9289,116.388,https://www.sanfordherald.com/news/national/taiwans-president-vows-to-defend-sovereignty-after-china-drills/article_62d3b95b-57da-5dee-b909-476931383a76.html
2025-10-01,190,-10.0,56,-6.18321999891577,4,25.0478,121.532,http://www.cambodiantimes.com/news/278610855/could-china-conduct-a-surprise-invasion-of-taiwan
2023-04-06,150,-7.2,104,-0.781322592806226,4,25.0478,121.532,https://www.theaustralian.com.au/news/latest-news/us-house-speaker-meets-taiwan-president-despite-beijings-threats/news-story/9208a7b30b405fc3ccd4d82554a9db05?nk=4f9fd783cd46abef5e10b153ad8c7193-1680738398
2016-06-27,194,-10.0,240,-1.37014467281098,4,39.9289,116.388,http://www.themalaymailonline.com/world/article/taiwan-to-test-fire-missiles-in-us-as-china-tensions-rise
2016-06-27,150,-7.2,138,-1.1622329951219,4,39.9289,116.388,http://www.themalaymailonline.com/world/article/taiwan-to-test-fire-missiles-in-us-as-china-tensions-rise
2016-06-27,150,-7.2,50,-0.894173675614608,4,25.0478,121.532,https://www.yahoo.com/news/taiwan-test-fire-missiles-us-china-tensions-rise-112351298.html
2024-08-23,194,-10.0,120,-4.57307140013918,4,39.9289,116.388,https://www.yahoo.com/news/taiwan-leader-urges-unity-chinese-052743138.html
2024-08-23,193,-10.0,78,-4.57307140013918,4,39.9289,116.388,https://www.yahoo.com/news/taiwan-leader-urges-unity-chinese-052743138.html
2016-07-01,194,-10.0,236,-4.90829199825915,4,39.9289,116.388,http://www.thestar.com.my/news/world/2016/07/01/taiwan-navy-fires-missile-in-error-as-chinas-communists-mark-birthday/
2016-07-01,194,-10.0,189,-3.44258082150166,4,39.9289,116.388,http://arynews.tv/en/taiwan-mistakenly-fires-missile-towards-china/
2016-07-01,194,-10.0,83,-3.88349022333435,4,39.9289,116.388,http://arynews.tv/en/taiwan-mistakenly-fires-missile-towards-china/
2016-07-01,194,-10.0,50,-4.26631108923983,4,25.0478,121.532,http://tribune.com.pk/story/1134046/taiwan-mistakenly-fires-carrier-killer-missile-towards-china/
2016-07-01,194,-10.0,44,-5.22568884762992,4,25.0478,121.532,http://article.wn.com/view/2016/07/01/Taiwan_mistakenly_fires_supersonic_missile_towards_China_0/
2016-07-01,194,-10.0,135,-3.95270372852832,4,23.57,119.57,http://www.thehindu.com/news/international/taiwan-mistakenly-fires-supersonic-missile-towards-china/article8796433.ece
2016-07-01,194,-10.0,194,-4.25363091794959,4,24.2208,120.581,"South China Morning Post website, Hong Kong/BBC Monitoring/(c) BBC"
2022-08-04,194,-10.0,700,-4.22261521114685,4,28.7925,117.262,https://wflapanamacity.iheart.com/content/2022-08-04-china-launches-missile-as-it-begins-live-fire-military-drills-around-taiwan/
2022-08-04,194,-10.0,300,-4.22261521114685,4,32.95,116.642,https://wflapanamacity.iheart.com/content/2022-08-04-china-launches-missile-as-it-begins-live-fire-military-drills-around-taiwan/
2022-08-04,150,-7.2,56,-0.929870517519152,4,39.9289,116.388,https://www.wvnews.com/mineralnews/newsfeed/world/pelosi-tells-taiwan-us-commitment-to-democracy-is-ironclad/article_7857b3c1-7aa7-5724-89e5-bb14c5098169.html
2022-08-04,194,-10.0,159,-3.68163401500355,4,39.9289,116.388,https://www.investmentwatchblog.com/china-has-established-a-blockade-around-taiwan-and-plans-to-shoot-missiles-directly-over-the-island/
2022-08-04,150,-7.2,62,-3.85085075107738,4,39.9289,116.388,https://www.thestar.com.my/aseanplus/aseanplus-news/2022/08/04/china-begins-major-taiwan-military-drills-after-pelosi-visit
2022-08-04,191,-9.5,45,-3.66354783271452,4,39.9289,116.388,https://apnews.com/bcd77a80ddbece51f45c5fca4f60e22e
2022-08-04,194,-10.0,46,-3.20825433006932,4,25.0478,121.532,https://www.shorenewsnetwork.com/2022/08/04/china-fires-missiles-into/
2022-08-04,150,-7.2,96,-2.53025302530253,4,24.1098,113.005,https://www.msn.com/en-us/news/world/facing-growing-threats-from-china-these-big-war-games-are-how-taiwan-prepares-to-fend-off-a-chinese-invasion/ar-AA10igSj
2022-08-04,194,-10.0,50,-2.40304342789013,4,39.9289,116.388,https://www.msn.com/en-gb/news/world/taiwan-confirms-multiple-chinese-missile-launches-into-waters-of-taiwan-strait-during-military-drills-e2-80-93-live/ar-AA10hrWH
2022-08-04,150,-7.2,90,-3.81557672655331,4,24.0,119.0,https://www.ndtv.com/world-news/chinas-military-drills-after-nancy-pelosi-visit-irresponsible-warns-us-3222946
2022-08-04,194,-10.0,536,-4.77296396357928,4,24.0,119.0,https://www.wkms.org/npr-news/npr-news/2022-08-04/china-fires-waves-of-missiles-over-the-taiwan-strait-raising-tensions-in-the-region
2022-08-04,150,-7.2,378,-2.07019448741782,4,39.9289,116.388,https://www.stuff.co.nz/world/asia/300654066/china-tightens-noose-with-taiwan-blockade
2022-08-04,150,-7.2,130,-2.13996803714007,4,39.9289,116.388,https://inlandnewstoday.com/story.php?s=68209
2022-08-04,194,-10.0,265,-3.8809299990162,4,39.9289,116.388,https://inlandnewstoday.com/story.php?s=68209
2022-08-04,150,-7.2,68,-3.51435692186529,4,25.0478,121.532,https://www.nytimes.com/2022/08/03/world/asia/taiwan-china-military-exercises.html
2022-08-04,194,-10.0,281,-3.07482721195544,4,25.0478,121.532,https://www.bbc.com/news/live/world-asia-62404233
2022-08-04,194,-10.0,101,-2.07346885441713,3,38.8951,-77.0364,https://www.bignewsnetwork.com/news/272642549/china-fires-hypersonic-missiles-in-taiwan-blockade-drill---media
2024-04-05,154,-7.2,45,-0.0657462195923733,4,15.0,115.0,https://www.marketscreener.com/quote/index/MSCI-TAIWAN-STRD-107361484/news/U-S-China-hold-military-talks-in-Hawaii-46374108/
2024-07-13,150,-7.2,50,-1.52103436729475,4,39.9289,116.388,http://europe.chinadaily.com.cn/a/202407/13/WS6691db81a31095c51c50ddc6.html
2025-01-24,190,-10.0,56,-2.20078543192145,4,39.9289,116.388,https://www.yahoo.com/news/rubio-clashes-china-fm-taiwan-213227617.html
2025-01-24,190,-10.0,42,-2.20078543192145,4,39.9289,116.388,https://www.yahoo.com/news/rubio-clashes-china-fm-taiwan-213227617.html
2022-11-06,150,-7.2,50,-1.93861572189164,4,39.9289,116.388,https://www.chinanationalnews.com/news/273044149/taiwan-scrambles-jets-after-detecting-chinese-forces-nearby
2025-03-19,154,-7.2,42,-3.35860290873134,4,39.9289,116.388,https://www.hindustantimes.com/world-news/taiwan-practices-to-mobilise-troops-fast-if-china-drills-turn-into-attack-101742374870001.html
2025-02-27,193,-10.0,1026,-3.96406951424588,4,39.9289,116.388,https://www.ksat.com/news/world/2025/02/27/taiwan-condemns-china-for-conducting-shooting-drills-off-its-coast/
