w_mentions,w_goldstein,w_tone,w_geo,f1,precision,recall,best_threshold
0.4,0.2,0.4,0.0,0.09821428571428573,0.062146892655367235,0.23404255319148937,0.35
0.4,0.3,0.0,0.3,0.17085427135678394,0.1118421052631579,0.3617021276595745,0.6
0.4,0.3,0.1,0.2,0.169811320754717,0.10909090909090909,0.3829787234042553,0.5
0.4,0.3,0.2,0.1,0.13740458015267173,0.10714285714285714,0.19148936170212766,0.45
0.4,0.3,0.3,0.0,0.1090909090909091,0.375,0.06382978723404255,0.55
0.4,0.4,0.0,0.2,0.16831683168316833,0.10967741935483871,0.3617021276595745,0.6
0.4,0.4,0.1,0.1,0.17910447761194026,0.3,0.1276595744680851,0.55
0.4,0.4,0.2,0.0,0.14754098360655737,0.12,0.19148936170212766,0.5
0.4,0.5,0.0,0.1,0.17142857142857143,0.11042944785276074,0.3829787234042553,0.6
0.4,0.5,0.1,0.0,0.14864864864864866,0.10891089108910891,0.23404255319148937,0.55
0.4,0.6,0.0,0.0,0.25,0.30303030303030304,0.2127659574468085,0.65
0.5,0.0,0.0,0.5,0.15647921760391198,0.08839779005524862,0.6808510638297872,0.4
0.5,0.0,0.1,0.4,0.19999999999999998,0.30434782608695654,0.14893617021276595,0.45
0.5,0.0,0.2,0.3,0.22222222222222224,0.17045454545454544,0.3191489361702128,0.35
0.5,0.0,0.3,0.2,0.19083969465648856,0.11627906976744186,0.5319148936170213,0.25
0.5,0.0,0.4,0.1,0.15789473684210525,0.0958904109589041,0.44680851063829785,0.2
0.5,0.0,0.5,0.0,0.14999999999999997,0.18181818181818182,0.1276595744680851,0.3
0.5,0.1,0.0,0.4,0.17886178861788618,0.11055276381909548,0.46808510638297873,0.45
0.5,0.1,0.1,0.3,0.19266055045871558,0.12280701754385964,0.44680851063829785,0.4
0.5,0.1,0.2,0.2,0.1834862385321101,0.16129032258064516,0.2127659574468085,0.35
0.5,0.1,0.3,0.1,0.17241379310344826,0.45454545454545453,0.10638297872340426,0.45
0.5,0.1,0.4,0.0,0.1492537313432836,0.25,0.10638297872340426,0.4
0.5,0.2,0.0,0.3,0.18548387096774197,0.11442786069651742,0.48936170212765956,0.45
0.5,0.2,0.1,0.2,0.23188405797101447,0.36363636363636365,0.1702127659574468,0.45
0.5,0.2,0.2,0.1,0.18666666666666665,0.25,0.14893617021276595,0.4
0.5,0.2,0.3,0.0,0.16393442622950818,0.13333333333333333,0.2127659574468085,0.35
0.5,0.3,0.0,0.2,0.1935483870967742,0.4,0.1276595744680851,0.55
0.5,0.3,0.1,0.1,0.2631578947368421,0.3448275862068966,0.2127659574468085,0.45
0.5,0.3,0.2,0.0,0.1818181818181818,0.1411764705882353,0.2553191489361702,0.4
0.5,0.4,0.0,0.1,0.18749999999999997,0.35294117647058826,0.1276595744680851,0.55
0.5,0.4,0.1,0.0,0.2191780821917808,0.3076923076923077,0.1702127659574468,0.5
0.5,0.5,0.0,0.0,0.25287356321839083,0.275,0.23404255319148937,0.55
0.6,0.0,0.0,0.4,0.21538461538461537,0.3888888888888889,0.14893617021276595,0.45
0.6,0.0,0.1,0.3,0.20779220779220778,0.26666666666666666,0.1702127659574468,0.35
0.6,0.0,0.2,0.2,0.2692307692307692,0.1926605504587156,0.44680851063829785,0.25
0.6,0.0,0.3,0.1,0.22377622377622378,0.16666666666666666,0.3404255319148936,0.2
0.6,0.0,0.4,0.0,0.1917808219178082,0.2692307692307692,0.14893617021276595,0.3
0.6,0.1,0.0,0.3,0.21875,0.4117647058823529,0.14893617021276595,0.45
0.6,0.1,0.1,0.2,0.23684210526315788,0.3103448275862069,0.19148936170212766,0.35
0.6,0.1,0.2,0.1,0.2619047619047619,0.2972972972972973,0.23404255319148937,0.3
0.6,0.1,0.3,0.0,0.183206106870229,0.14285714285714285,0.2553191489361702,0.25
0.6,0.2,0.0,0.2,0.2647058823529412,0.42857142857142855,0.19148936170212766,0.45
0.6,0.2,0.1,0.1,0.23809523809523814,0.2702702702702703,0.2127659574468085,0.35
0.6,0.2,0.2,0.0,0.23255813953488375,0.2564102564102564,0.2127659574468085,0.35
0.6,0.3,0.0,0.1,0.26666666666666666,0.35714285714285715,0.2127659574468085,0.45
0.6,0.3,0.1,0.0,0.26506024096385544,0.3055555555555556,0.23404255319148937,0.4
0.6,0.4,0.0,0.0,0.2702702702702703,0.37037037037037035,0.2127659574468085,0.5
0.7,0.0,0.0,0.3,0.2894736842105263,0.3793103448275862,0.23404255319148937,0.35
0.7,0.0,0.1,0.2,0.3010752688172043,0.30434782608695654,0.2978723404255319,0.25
0.7,0.0,0.2,0.1,0.2894736842105263,0.3793103448275862,0.23404255319148937,0.25
0.7,0.0,0.3,0.0,0.2696629213483146,0.2857142857142857,0.2553191489361702,0.2
0.7,0.1,0.0,0.2,0.2631578947368421,0.3448275862068966,0.2127659574468085,0.35
0.7,0.1,0.1,0.1,0.26666666666666666,0.35714285714285715,0.2127659574468085,0.3
0.7,0.1,0.2,0.0,0.25,0.2682926829268293,0.23404255319148937,0.25
0.7,0.2,0.0,0.1,0.275,0.3333333333333333,0.23404255319148937,0.35
0.7,0.2,0.1,0.0,0.26666666666666666,0.27906976744186046,0.2553191489361702,0.3
0.7,0.3,0.0,0.0,0.271604938271605,0.3235294117647059,0.23404255319148937,0.4
0.8,0.0,0.0,0.2,0.2988505747126437,0.325,0.2765957446808511,0.25
0.8,0.0,0.1,0.1,0.3181818181818182,0.34146341463414637,0.2978723404255319,0.2
0.8,0.0,0.2,0.0,0.32380952380952377,0.29310344827586204,0.3617021276595745,0.15
0.8,0.1,0.0,0.1,0.28205128205128205,0.3548387096774194,0.23404255319148937,0.3
0.8,0.1,0.1,0.0,0.30303030303030304,0.28846153846153844,0.3191489361702128,0.2
0.8,0.2,0.0,0.0,0.2857142857142857,0.29545454545454547,0.2765957446808511,0.3
0.9,0.0,0.0,0.1,0.3243243243243243,0.28125,0.3829787234042553,0.15
0.9,0.0,0.1,0.0,0.3333333333333333,0.26582278481012656,0.44680851063829785,0.1
0.9,0.1,0.0,0.0,0.2926829268292683,0.34285714285714286,0.2553191489361702,0.25
1.0,0.0,0.0,0.0,0.33599999999999997,0.2692307692307692,0.44680851063829785,0.1
